Rk,Nm,Tm,Age,G,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,RTD,RYD
1,Aaron Rodgers,GNB,27,15,312,475,65.7,3922,28,11,8.3,8.4,12.6,261.5,101.2,31,193,4,356
2,Michael Vick,PHI,30,12,233,372,62.6,3018,21,6,8.1,8.5,13,251.5,100.2,34,210,9,676
3,Philip Rivers,SDG,29,16,357,541,66,4710,30,13,8.7,8.7,13.2,294.4,101.8,38,227,0,52
4,Drew Brees,NOR,31,16,448,658,68.1,4620,33,22,7,6.5,10.3,288.8,90.9,25,185,0,0
5,Matt Schaub,HOU,29,16,365,574,63.6,4370,24,12,7.6,7.5,12,273.1,92,32,226,0,28
6,Peyton Manning,IND,34,16,450,679,66.3,4700,33,17,6.9,6.8,10.4,293.8,91.9,16,91,0,18
7,Tony Romo,DAL,30,6,148,213,69.5,1605,11,7,7.5,7.1,10.8,267.5,94.9,7,41,0,38
8,Tom Brady,NWE,33,16,324,492,65.9,3900,36,4,7.9,9,12,243.8,111,25,175,1,30
9,Kevin Kolb,ARI,26,7,115,189,60.8,1197,7,7,6.3,5.4,10.4,171,76.1,15,99,0,68
10,Matt Ryan,ATL,25,16,357,571,62.5,3705,28,9,6.5,6.8,10.4,231.6,91,23,158,0,122
11,Matt Cassel,KAN,28,15,262,450,58.2,3116,27,7,6.9,7.4,11.9,207.7,93,26,182,0,125
12,Eli Manning,NYG,29,16,339,539,62.9,4002,31,25,7.4,6.5,11.8,250.1,85.3,16,117,0,70
13,Mark Sanchez,NYJ,24,15,278,507,54.8,3291,17,13,6.5,6,11.8,219.4,75.3,27,171,3,105
14,Sam Bradford,STL,23,16,354,590,60,3512,18,15,6,5.4,9.9,219.5,76.5,34,244,1,63
15,Jay Cutler,CHI,27,15,261,432,60.4,3274,23,16,7.6,7,12.5,218.3,86.3,52,352,0,237
16,Josh Freeman,TAM,22,16,291,474,61.4,3451,25,6,7.3,7.8,11.9,215.7,95.9,28,195,0,364
17,Ben Roethlisberger,PIT,28,12,240,389,61.7,3200,17,5,8.2,8.5,13.3,266.7,97,32,220,2,176
18,Joe Flacco,BAL,25,16,306,489,62.6,3622,25,10,7.4,7.5,11.8,226.4,93.6,40,294,1,84
19,Cam Newton,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Donovan McNabb,MIN,34,13,275,472,58.3,3377,14,15,7.2,6.3,12.3,259.8,77.1,37,271,0,151
21,Matt Hasselbeck,SEA,35,14,266,444,59.9,3001,12,17,6.8,5.6,11.3,214.4,73.2,29,175,3,60
22,Kyle Orton,DEN,28,13,293,498,58.8,3653,20,9,7.3,7.3,12.5,281,87.5,34,243,0,98
23,Ryan Fitzpatrick,BUF,28,13,255,441,57.8,3000,23,15,6.8,6.3,11.8,230.8,81.8,24,145,0,269
24,Matthew Stafford,DET,22,3,57,96,59.4,535,6,1,5.6,6.4,9.4,178.3,91.3,4,36,1,0
25,David Garrard,JAX,32,14,236,366,64.5,2734,23,15,7.5,6.9,11.6,195.3,90.8,33,253,5,279
26,Alex Smith,SFO,26,11,204,342,59.6,2370,14,10,6.9,6.4,11.6,215.5,82.1,25,140,0,60
27,Jason Campbell,OAK,29,13,194,329,59,2387,13,8,7.3,7,12.3,183.6,84.5,33,208,1,222
28,Chad Henne,MIA,25,15,301,490,61.4,3301,15,19,6.7,5.6,11,220.1,75.4,30,178,0,52
29,Shaun Hill,DET,30,13,257,416,61.8,2686,16,12,6.5,5.9,10.5,206.6,81.3,17,113,0,123
29,Jimmy Clausen,CAR,23,13,157,299,52.5,1558,3,9,5.2,4.1,9.9,119.8,58.4,33,223,0,0
30,Colt McCoy,CLE,24,8,135,222,60.8,1576,6,9,7.1,5.8,11.7,197,74.5,23,132,1,136
31,Tim Tebow,DEN,23,7,41,82,50,654,5,3,8,7.5,16,93.4,82.1,6,26,6,232
32,Bruce Gradkowski,OAK,27,6,83,157,52.9,1059,5,7,6.7,5.4,12.8,176.5,66.3,10,77,0,41
33,Jake Delhomme,CLE,35,5,93,149,62.4,872,2,7,5.9,4,9.4,174.4,63.4,6,49,0,0
34,Troy Smith,SFO,26,6,73,145,50.3,1176,5,4,8.1,7.6,16.1,196,77.8,18,112,1,121
35,Matt Moore,CAR,26,6,79,143,55.2,857,5,10,6,3.5,10.8,142.8,55.6,13,90,0,25
36,Rex Grossman,WAS,30,4,74,133,55.6,884,7,4,6.6,6.3,11.9,221,81.2,9,77,0,6
37,John Skelton,ARI,22,5,60,126,47.6,662,2,2,5.3,4.9,11,132.4,62.3,9,65,0,49
38,Drew Stanton,DET,26,6,69,119,58,780,4,3,6.6,6.1,11.3,130,78.4,6,42,1,113
39,Trent Edwards,OAK,27,4,55,101,54.5,521,2,5,5.2,3.3,9.5,130.3,54.9,11,95,0,58
40,Seneca Wallace,CLE,30,6,64,101,63.4,694,4,2,6.9,6.8,10.8,115.7,88.5,6,33,0,9
41,Charlie Whitehurst,SEA,28,5,57,99,57.6,507,2,3,5.1,4.2,8.9,101.4,65.5,5,13,1,43
42,Joe Webb,MIN,24,5,54,89,60.7,477,0,3,5.4,3.8,8.8,95.4,60.9,8,48,2,120
43,Tarvaris Jackson,SEA,27,3,34,58,58.6,341,3,4,5.9,3.8,10,113.7,63.9,6,43,0,63
44,Charlie Batch,PIT,36,3,29,49,59.2,352,3,3,7.2,5.7,12.1,117.3,76.2,4,21,0,30
45,Dennis Dixon,PIT,25,2,22,32,68.8,254,0,1,7.9,6.5,11.5,127,79.4,5,41,0,32
46,Jon Kitna,DAL,38,10,209,318,65.7,2365,16,12,7.4,6.7,11.3,236.5,88.9,21,100,1,147
47,Vince Young,PHI,27,9,93,156,59.6,1255,10,3,8,8.5,13.5,139.4,98.6,13,80,0,125
