Rk,Tm,G,Pts,Yds,Ply,Y/P,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,TO,FR,1stPy,Nm,Sk,Sf,Blk,TD,FP
1,PIT,16,224,4429,974,4.5,272,363,593,3425,15,21,5.3,182,333,1004,5,3,61,35,14,29,Steelers,48,0,1,3,176
2,GNB,16,234,4945,969,5.1,270,296,527,3107,16,24,5.4,163,395,1838,6,4.7,82,32,8,25,Packers,47,0,0,4,178
3,BAL,16,270,5102,1007,5.1,284,349,596,3599,22,19,5.8,187,384,1503,5,3.9,79,27,8,18,Ravens,27,0,0,0,122
4,PHI,16,359,5235,998,5.2,309,309,536,3469,31,23,6,185,423,1766,12,4.2,91,34,11,33,Eagles,39,0,0,2,128
5,NYJ,16,298,4664,979,4.8,272,269,531,3210,24,12,5.6,169,408,1454,11,3.6,70,30,18,33,Jets,40,2,1,1,144
6,NOR,16,277,4900,948,5.2,273,306,494,3103,13,9,5.9,150,421,1797,13,4.3,94,25,16,29,Saints,33,1,1,1,127
7,CHI,16,286,5029,1002,5.0,282,363,582,3588,14,21,5.8,183,386,1441,14,3.7,88,35,14,11,Bears,34,0,2,1,149
8,NWE,16,313,5864,1056,5.6,348,388,611,4136,25,25,6.4,226,409,1728,10,4.2,99,38,13,23,Patriots,36,0,2,2,172
9,NYG,16,347,4990,974,5.1,263,308,539,3370,24,16,5.8,159,389,1620,11,4.2,88,39,23,16,Giants,46,0,2,2,145
10,TAM,16,318,5323,991,5.4,307,307,521,3216,23,19,5.9,171,444,2107,12,4.7,118,28,9,18,Bucaneers,26,0,0,0,122
11,SDG,16,322,4345,939,4.6,247,285,488,2845,18,16,5.3,153,404,1500,14,3.7,77,23,7,17,Chargers,47,1,0,0,140
12,DAL,16,436,5628,977,5.8,309,348,540,3894,33,20,6.8,200,402,1734,11,4.3,84,30,10,25,Cowboys,36,0,1,4,120
13,ATL,16,288,5319,957,5.6,284,364,560,3625,23,22,6.1,183,366,1694,9,4.6,87,31,9,14,Falcons,31,0,0,0,128
14,KAN,16,326,5283,1028,5.1,293,319,581,3519,23,14,5.7,186,408,1764,11,4.3,88,23,9,19,Chiefs,39,0,4,0,120
15,MIA,16,333,4949,988,5,264,288,502,3348,22,11,6.2,166,447,1601,8,3.6,84,19,8,14,Dolphins,39,1,1,1,103
16,TEN,16,339,5883,1139,5.2,356,410,625,4032,23,17,6.1,214,474,1851,7,3.9,107,25,8,35,Titans,40,2,2,2,119
17,SFO,16,346,5244,1033,5.1,299,358,550,3697,25,15,6.3,188,447,1547,9,3.5,86,22,7,25,49ers,36,0,1,1,119
18,MIN,16,348,5002,977,5.1,276,333,529,3367,25,15,6,178,417,1635,10,3.9,87,26,11,11,Vikings,31,0,0,0,106
19,DET,16,369,5497,1005,5.5,320,330,518,3498,23,14,6.2,187,443,1999,18,4.5,98,29,15,35,Lions,44,1,0,0,132
20,CLE,16,332,5601,1041,5.4,317,309,507,3531,26,19,6.6,195,505,2070,7,4.1,102,28,9,20,Browns,29,0,3,3,122
21,OAK,16,371,5165,991,5.2,292,249,470,3027,29,12,5.9,150,474,2138,14,4.5,98,24,12,44,Raiders,47,2,2,2,132
22,WAS,16,377,6228,1051,5.9,326,367,578,4187,23,14,6.9,207,444,2041,15,4.6,106,27,13,13,Redksins,29,0,2,0,108
23,IND,16,388,5465,1010,5.4,314,356,535,3433,22,10,6.1,190,445,2032,14,4.6,111,21,11,13,Colts,30,0,1,1,104
24,CIN,16,357,5312,957,5.6,290,326,514,3469,21,16,6.4,170,416,1843,15,4.4,97,26,10,23,Bengals,27,0,0,0,99
25,SEA,16,393,5897,1074,5.5,313,339,585,3994,31,12,6.4,206,452,1903,13,4.2,91,22,10,16,Seahawks,37,1,4,4,117
26,CAR,16,378,5374,1060,5.1,328,326,526,3393,19,17,6.1,176,503,1981,20,3.9,121,29,12,31,Panthers,31,1,1,1,102
27,JAX,16,407,5949,948,6.3,316,329,506,4004,28,13,7.5,197,416,1945,19,4.7,98,18,5,21,Jaguars,26,0,1,1,63
28,BUF,16,411,5786,1071,5.4,335,294,473,3072,28,11,6.1,179,571,2714,18,4.8,138,22,11,18,Bills,27,0,0,3,89
29,HOU,16,415,6031,1010,6,352,354,547,4280,33,13,7.4,211,433,1751,16,4,113,18,5,28,Texans,30,0,1,1,75
30,ARI,16,410,5977,1092,5.5,339,324,533,3654,22,17,6.5,178,526,2323,19,4.4,123,30,13,38,Cardinals,33,0,3,3,139
31,STL,16,316,5388,1017,5.3,304,328,570,3578,21,14,5.8,191,404,1810,7,4.5,88,26,12,25,Rams,43,1,0,0,120
32,DEN,16,457,6253,1056,5.9,334,297,502,3780,26,10,7.2,184,531,2473,26,4.7,126,18,8,24,Broncos,23,0,0,1,52
