Rk,Nm,Tm,Age,G,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb,RTD
1,Antonio Gates,SDG,30,10,50,782,15.6,10,48,5,78.2,0,0
2,Jermichael Finley,GNB,23,4,21,301,14.3,1,34,5.3,75.3,0,0
3,Jason Witten,DAL,28,16,94,1002,10.7,9,33,5.9,62.6,1,0
4,Vernon Davis,SFO,26,16,56,914,16.3,7,66,3.5,57.1,0,0
5,Dallas Clark,IND,31,6,37,347,9.4,3,50,6.2,57.8,0,0
6,Kellen Winslow Jr.,TAM,27,16,66,730,11.1,5,41,4.1,45.6,1,0
7,Owen Daniels,HOU,28,11,38,471,12.4,2,31,3.5,42.8,0,0
8,Jimmy Graham,NOR,23,12,31,356,11.5,5,52,2.6,29.7,1,0
9,Marcedes Lewis,JAX,26,16,58,700,12.1,10,42,3.6,43.8,2,0
10,Zach Miller,SEA,25,15,60,685,11.4,5,43,4,45.7,1,0
11,Dustin Keller,NYJ,26,15,55,687,12.5,5,41,3.7,45.8,0,0
12,Brandon Pettigrew,DET,25,16,71,722,10.2,4,35,4.4,45.1,0,0
13,Tony Gonzalez,ATL,34,16,70,656,9.4,6,34,4.4,41,0,0
14,Chris Cooley,WAS,28,16,77,849,11,3,35,4.8,53.1,3,0
15,Greg Olsen,CAR,25,14,41,404,9.9,5,39,2.9,28.9,2,0
16,Todd Heap,BAL,30,12,40,599,15,5,65,3.3,49.9,1,0
17,Jared Cook,TEN,23,14,29,361,12.4,1,36,2.1,25.8,0,0
18,Aaron Hernandez,NWE,21,14,45,563,12.5,6,46,3.2,40.2,0,0
19,Rob Gronkowski,NWE,21,16,42,546,13,10,28,2.6,34.1,1,0
20,Jermaine Gresham,CIN,22,14,52,471,9.1,4,27,3.7,33.6,2,0
21,Tony Moeaki,KAN,23,15,47,556,11.8,3,34,3.1,37.1,0,0
22,Visanthe Shiancoe,MIN,30,15,47,530,11.3,2,33,3.1,35.3,0,0
23,Brent Celek,PHI,25,12,42,511,12.2,4,65,3.5,42.6,0,0
24,Lance Kendricks,STL,22,0,0,0,0,0,0,0,0,0,0
25,Heath Miller,PIT,28,14,42,512,12.2,2,36,3,36.6,1,0
26,Jeremy Shockey,NOR,30,13,41,408,10,3,31,3.2,31.4,0,0
27,Jacob Tamme,IND,25,13,67,631,9.4,4,30,5.2,48.5,0,0
28,Joel Dreessen,HOU,28,14,36,518,14.4,4,43,2.6,37,1,0
29,Bo Scaife,TEN,29,12,36,318,8.8,4,30,3,26.5,2,0
30,Kevin Boss,NYG,26,14,35,531,15.2,5,54,2.5,37.9,1,0
31,Martellus Bennett,DAL,23,13,33,260,7.9,0,32,2.5,20,1,0
32,Dante Rosario,CAR,26,15,32,264,8.3,0,26,2.1,17.6,0,0
33,John Carlson,SEA,26,13,31,318,10.3,1,37,2.4,24.5,0,0
34,Jeff King,CAR,27,12,19,121,6.4,2,16,1.6,10.1,0,0
35,Leonard Pope,KAN,27,8,10,76,7.6,2,14,1.3,9.5,0,0
36,Desmond Clark,CHI,33,2,1,12,12,0,12,0.5,6,0,0
37,Alge Crumpler,NWE,33,8,6,52,8.7,2,27,0.8,6.5,0,0
38,Stephen Spach,ARI,28,8,7,40,5.7,0,14,0.9,5,0,0
39,Ben Watson,CLE,30,15,68,763,11.2,3,44,4.5,50.9,0,0
40,Ed Dickson,BAL,23,10,11,152,13.8,1,58,1.1,15.2,0,0
41,Fred Davis,WAS,24,13,21,316,15,3,71,1.6,24.3,0,0
42,Daniel Fells,STL,27,16,41,391,9.5,2,36,2.6,24.4,0,0
43,Donald Lee,GNB,30,8,11,73,6.6,3,17,1.4,9.1,1,0
44,Tony Scheffler,DET,27,14,45,378,8.4,1,25,3.2,27,1,0
45,Randy McMichael,SDG,31,12,20,221,11.1,2,28,1.7,18.4,0,0
