Tm,Wk,PA
PIT,1,35
PIT,2,0
PIT,3,20
PIT,4,17
PIT,5,17
PIT,6,13
PIT,7,20
PIT,8,17
PIT,9,23
PIT,10,17
PIT,12,9
PIT,13,7
PIT,14,3
PIT,15,20
PIT,16,0
PIT,17,9
GNB,1,34
GNB,2,23
GNB,3,17
GNB,4,23
GNB,5,14
GNB,6,3
GNB,7,27
GNB,9,38
GNB,10,7
GNB,11,26
GNB,12,15
GNB,13,35
GNB,14,16
GNB,15,19
GNB,16,21
GNB,17,41
BAL,1,7
BAL,2,26
BAL,3,7
BAL,4,17
BAL,6,14
BAL,7,12
BAL,8,27
BAL,9,20
BAL,10,22
BAL,11,24
BAL,12,6
BAL,13,10
BAL,14,10
BAL,15,34
BAL,16,14
BAL,17,16
PHI,1,13
PHI,2,35
PHI,3,29
PHI,4,24
PHI,5,3
PHI,6,13
PHI,8,34
PHI,9,30
PHI,10,21
PHI,11,17
PHI,12,38
PHI,13,31
PHI,14,10
PHI,15,19
PHI,16,7
PHI,17,10
NYJ,1,24
NYJ,2,3
NYJ,3,34
NYJ,4,34
NYJ,5,30
NYJ,6,6
NYJ,7,21
NYJ,9,11
NYJ,10,37
NYJ,11,17
NYJ,12,24
NYJ,13,19
NYJ,14,10
NYJ,15,45
NYJ,16,29
NYJ,17,19
NOR,1,42
NOR,2,13
NOR,3,33
NOR,4,10
NOR,5,27
NOR,6,26
NOR,7,7
NOR,8,31
NOR,9,16
NOR,10,23
NOR,12,24
NOR,13,17
NOR,14,17
NOR,15,20
NOR,16,16
NOR,17,17
CHI,1,12
CHI,2,30
CHI,3,27
CHI,4,29
CHI,5,24
CHI,6,10
CHI,7,18
CHI,9,24
CHI,10,13
CHI,11,20
CHI,12,25
CHI,13,10
CHI,14,13
CHI,15,38
CHI,16,35
CHI,17,13
NWE,1,24
NWE,2,21
NWE,3,34
NWE,4,19
NWE,5,21
NWE,6,16
NWE,8,25
NWE,9,24
NWE,10,16
NWE,11,3
NWE,12,20
NWE,13,24
NWE,14,27
NWE,15,23
NWE,16,24
NWE,17,21
NYG,1,28
NYG,2,16
NYG,3,16
NYG,4,27
NYG,5,36
NYG,6,24
NYG,8,17
NYG,9,20
NYG,10,27
NYG,11,17
NYG,12,49
NYG,13,38
NYG,14,34
NYG,15,23
NYG,16,14
NYG,17,14
TAM,1,27
TAM,2,20
TAM,3,13
TAM,4,17
TAM,5,48
TAM,6,20
TAM,7,24
TAM,9,27
TAM,10,37
TAM,11,35
TAM,12,23
TAM,13,38
TAM,14,41
TAM,15,31
TAM,16,48
TAM,17,45
SDG,1,17
SDG,2,35
SDG,3,17
SDG,4,16
SDG,5,24
SDG,7,27
SDG,8,23
SDG,9,45
SDG,10,24
SDG,11,31
SDG,12,16
SDG,13,14
SDG,14,10
SDG,15,14
SDG,16,38
SDG,17,26
DAL,1,27
DAL,2,24
DAL,3,16
DAL,4,34
DAL,6,20
DAL,7,7
DAL,8,34
DAL,9,13
DAL,10,7
DAL,11,24
DAL,12,19
DAL,13,19
DAL,14,37
DAL,15,15
DAL,16,20
DAL,17,31
ATL,1,30
ATL,2,31
ATL,3,16
ATL,4,28
ATL,5,25
ATL,6,17
ATL,7,16
ATL,9,7
ATL,10,26
ATL,11,17
ATL,12,14
ATL,13,17
ATL,14,23
ATL,15,14
ATL,16,45
ATL,17,24
KAN,1,41
KAN,2,48
KAN,3,20
KAN,4,17
KAN,5,24
KAN,7,0
KAN,8,20
KAN,9,31
KAN,10,17
KAN,11,34
KAN,12,13
KAN,13,3
KAN,14,37
KAN,15,14
KAN,16,16
KAN,17,3
MIA,1,38
MIA,2,23
MIA,3,17
MIA,4,26
MIA,6,24
MIA,7,18
MIA,8,20
MIA,9,3
MIA,10,9
MIA,11,8
MIA,12,20
MIA,13,14
MIA,14,26
MIA,15,23
MIA,16,27
MIA,17,17
TEN,1,16
TEN,2,13
TEN,3,14
TEN,4,13
TEN,5,38
TEN,7,41
TEN,8,10
TEN,9,24
TEN,10,3
TEN,11,23
TEN,12,17
TEN,13,17
