Rk,First,Last,Pos,Team,Age,PassYds,TD,Int,RushYds,TD,Rec,Yds,TD,FumLost,FantasyPoints,Avg,ADP
1,Jimmy,Graham,TE,NOR,26,0,0,0,0,0,85,982,9,0,152.2,0,23.16
2,Rob,Gronkowski,TE,NWE,24,0,0,0,0,0,55,790,11,1,143,0,20.24
3,Jason,Witten,TE,DAL,31,0,0,0,0,0,110,1039,3,0,121.9,0,58.84
4,Vernon,Davis,TE,SFO,29,0,0,0,0,0,41,548,5,0,84.8,0,72.71
5,Kyle,Rudolph,TE,MIN,23,0,0,0,0,0,53,493,9,0,105.3,0,82.04
6,Tony,Gonzalez,TE,ATL,37,0,0,0,0,0,93,930,8,0,141,0,84.35
7,Dennis,Pitta,TE,BAL,28,0,0,0,0,0,61,669,7,0,108.9,0,96
8,Jermaine,Gresham,TE,CIN,25,0,0,0,0,0,64,737,5,1,101.7,0,108.14
9,Rob,Housler,TE,ARI,25,0,0,0,0,0,45,417,0,0,41.7,0,174.67
10,Greg,Olsen,TE,CAR,28,0,0,0,0,0,69,843,5,0,114.3,0,110.3
11,Jermichael,Finley,TE,GNB,26,0,0,0,0,0,61,667,2,1,76.7,0,112.67
12,Owen,Daniels,TE,HOU,30,0,0,0,0,0,62,716,6,0,107.6,0,121.67
13,Brandon,Pettigrew,TE,DET,28,0,0,0,0,0,59,567,3,2,70.7,0,123.09
14,Antonio,Gates,TE,SDG,33,0,0,0,0,0,49,538,7,0,95.8,0,128.58
15,Martellus,Bennett,TE,CHI,26,0,0,0,0,0,55,626,5,0,92.6,0,132
16,Brandon,Myers,TE,NYG,27,0,0,0,0,0,79,806,4,0,104.6,0,144.11
17,David,Paulson,TE,PIT,24,0,0,0,0,0,7,51,0,0,5.1,0,117.5
18,Tyler,Eifert,TE,CIN,22,0,0,0,0,0,0,0,0,0,0,0,130.17
19,Jared,Cook,TE,STL,26,0,0,0,0,0,44,523,4,1,74.3,0,130.67
20,Dwayne,Allen,TE,IND,23,0,0,0,5,0,45,521,3,0,70.6,0,144.22
21,Coby,Fleener,TE,IND,24,0,0,0,0,0,26,281,2,0,40.1,0,150.29
22,Heath,Miller,TE,PIT,30,0,0,0,0,0,71,816,8,0,131.6,0,156
23,Fred,Davis,TE,WAS,27,0,0,0,1,0,24,325,0,0,32.6,0,158.94
24,Tom,Crabtree,TE,TAM,27,0,0,0,0,0,8,203,3,0,38.3,0,167.5
25,Kyle,Adams,TE,CHI,25,0,0,0,0,0,4,40,0,0,4,0,169.33
26,Zach,Miller,TE,SEA,27,0,0,0,0,0,38,396,3,1,55.6,0,170.15
27,Zach,Ertz,TE,PHI,22,0,0,0,0,0,0,0,0,0,0,0,171.6
28,Jordan,Cameron,TE,CLE,24,0,0,0,0,0,20,226,1,0,28.6,0,178
29,Marcedes,Lewis,TE,JAC,29,0,0,0,0,0,52,540,4,0,78,0,180.5
30,Brent,Celek,TE,PHI,28,0,0,0,0,0,57,684,1,1,72.4,0,187.71
31,Delanie,Walker,TE,TEN,28,0,0,0,0,0,21,344,3,1,50.4,0,199.83
32,Lance,Kendricks,TE,STL,25,0,0,0,0,0,42,519,4,0,77.9,0,202.75
33,Jacob,Tamme,TE,DEN,28,0,0,0,0,0,52,555,2,0,67.5,0,225.43
34,DJ,Williams,TE,GNB,24,0,0,0,0,0,7,57,0,0,5.7,0,227.33
35,Ladarius,Green,TE,SDG,23,0,0,0,0,0,4,56,0,0,5.6,0,228.5
36,Tony,Moeaki,TE,KAN,26,0,0,0,0,0,33,453,1,0,51.3,0,232.5
37,Taylor,Thompson,TE,TEN,23,0,0,0,0,0,6,46,0,0,4.6,0,262.6
38,Travis,Kelce,TE,KAN,23,0,0,0,0,0,0,0,0,0,0,0,264
39,Jordan,Reed,TE,WAS,23,0,0,0,0,0,0,0,0,0,0,0,267.33
40,Gavin,Escobar,TE,DAL,22,0,0,0,0,0,0,0,0,0,0,0,273.33
41,Scott,Chandler,TE,BUF,27,0,0,0,0,0,43,571,6,1,91.1,0,307
