Rk,Nm,Tm,Age,G,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1,Arian Foster,HOU,24,16,327,1616,16,74,4.9,101,20.4,66,604,9.2,2,50,4.1,37.8,2220,18,3
2,Adrian Peterson,MIN,25,15,283,1298,12,80,4.6,86.5,18.9,36,341,9.5,1,34,2.4,22.7,1639,13,1
3,Chris Johnson,TEN,25,16,316,1364,11,76,4.3,85.3,19.8,44,245,5.6,1,25,2.8,15.3,1609,12,3
4,Michael Turner,ATL,28,16,334,1371,12,55,4.1,85.7,20.9,12,85,7.1,0,19,0.8,5.3,1456,12,2
5,Ray Rice,BAL,23,16,307,1220,5,50,4,76.3,19.2,63,556,8.8,1,34,3.9,34.8,1776,6,0
6,Jamaal Charles,KAN,24,16,230,1467,5,80,6.4,91.7,14.4,45,468,10.4,3,31,2.8,29.3,1935,8,3
7,Steven Jackson,STL,27,16,330,1241,6,42,3.8,77.6,20.6,46,383,8.3,0,49,2.9,23.9,1624,6,1
8,Darren McFadden,OAK,23,13,223,1157,7,57,5.2,89,17.2,47,507,10.8,3,67,3.6,39,1664,10,4
9,Maurice Jones-Drew,JAX,25,14,299,1324,5,37,4.4,94.6,21.4,34,317,9.3,2,75,2.4,22.6,1641,7,2
10,Rashard Mendenhall,PIT,23,16,324,1273,13,50,3.9,79.6,20.3,23,167,7.3,0,24,1.4,10.4,1440,13,2
11,LeSean McCoy,PHI,22,15,207,1080,7,62,5.2,72,13.8,78,592,7.6,2,40,5.2,39.5,1672,9,2
12,Peyton Hillis,CLE,24,16,270,1177,11,48,4.4,73.6,16.9,61,477,7.8,2,47,3.8,29.8,1654,13,8
13,Cedric Benson,CIN,28,16,321,1111,7,26,3.5,69.4,20.1,28,178,6.4,1,24,1.8,11.1,1289,8,7
14,Matt Forte,CHI,25,16,237,1069,6,68,4.5,66.8,14.8,51,547,10.7,3,89,3.2,34.2,1616,9,3
15,Frank Gore,SFO,27,11,203,853,3,64,4.2,77.5,18.5,46,452,9.8,2,41,4.2,41.1,1305,5,4
16,Ahmad Bradshaw,NYG,24,16,276,1235,8,48,4.5,77.2,17.3,47,314,6.7,0,18,2.9,19.6,1549,8,7
17,Shonn Greene,NYJ,25,15,185,766,2,23,4.1,51.1,12.3,16,120,7.5,0,15,1.1,8,886,2,3
18,DeAngelo Williams,CAR,27,6,87,361,1,39,4.1,60.2,14.5,11,61,5.5,0,14,1.8,10.2,422,1,1
