Rk,Nm,Tm,Age,G,FGA 0-19,FGM 0-19,FGA 20-29,FGM 20-29,FGA 30-39,FGM 30-39,FGA 40-49,FGM 40-49,FGA 50+,FGM 50+,FGA TOT,FGM TOT,FG%,XPA,XPM
1,Mason Crosby,GNB,26,16,1,1,8,7,5,4,10,8,4,2,28,22,78.60%,46,46
2,Nate Kaeding,SDG,28,13,0,0,6,6,8,7,10,9,4,1,28,23,82.10%,40,40
3,Neil Rackers,HOU,34,16,0,0,8,8,11,11,7,5,4,3,30,27,90.00%,43,43
4,Sebastian Janikowski,OAK,32,16,0,0,8,8,14,13,12,8,7,4,41,33,80.50%,43,43
5,Stephen Gostkowski,NWE,26,8,0,0,2,2,7,6,3,2,1,0,13,10,76.90%,26,26
6,Adam Vinatieri,IND,38,16,0,0,8,8,10,9,10,9,0,0,28,26,92.90%,51,51
7,Matt Bryant,ATL,35,16,0,0,11,11,9,8,10,8,1,1,31,28,90.30%,44,44
8,Garrett Hartley,NOR,24,14,1,1,6,4,9,7,7,6,2,2,25,20,80.00%,40,40
9,David Buehler,DAL,23,16,0,0,8,8,7,4,11,8,6,4,32,24,75.00%,44,42
10,Nick Folk,NYJ,26,16,1,1,11,10,16,14,6,3,5,2,39,30,76.90%,37,37
11,Alex Henry,PHI,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0
12,Robbie Gould,CHI,28,16,1,1,9,9,9,8,7,4,4,3,30,25,83.30%,35,35
13,David Akers,SFO,36,16,0,0,12,12,12,10,11,9,3,1,38,32,84.20%,47,47
14,Josh Scobee,JAX,28,16,2,2,3,3,7,6,14,9,2,2,28,22,78.60%,41,41
15,Ryan Succop,KAN,24,15,0,0,6,6,9,7,8,6,3,1,26,20,76.90%,42,42
16,Billy Cundiff,BAL,30,16,0,0,11,11,9,8,8,7,1,0,29,26,89.70%,39,39
17,Josh Brown,STL,31,16,0,0,12,11,14,12,9,7,4,3,39,33,84.60%,27,26
18,Dan Carpenter,MIA,25,15,1,1,9,9,5,5,18,11,8,4,41,30,73.20%,25,25
19,Lawrence Tynes,NYG,32,15,0,0,12,12,4,2,4,3,3,2,23,19,82.60%,43,43
20,Connor Barth,TAM,24,16,0,0,6,6,10,10,10,6,2,1,28,23,82.10%,36,36
21,Rob Bironas,TEN,32,15,0,0,6,6,9,8,8,8,3,2,26,24,92.30%,38,38
22,Jeff Reed,PIT,31,14,2,2,10,9,9,8,7,3,4,2,32,24,75.00%,32,32
23,Jay Feely,ARI,34,16,0,0,8,8,6,6,10,8,3,2,27,24,88.90%,29,29
24,Olindo Mare,SEA,37,16,2,2,12,10,7,7,7,5,2,1,30,25,83.30%,31,31
25,Phil Dawson,CLE,35,16,3,3,7,7,10,10,5,3,3,0,28,23,82.10%,28,28
26,Ryan Longwell,MIN,36,16,0,0,7,7,9,8,2,2,0,0,18,17,94.40%,31,30
27,Rian Lindell,BUF,33,16,1,1,6,6,6,5,3,2,5,2,21,16,76.20%,32,31
28,Matt Prater,DEN,26,12,0,0,3,3,7,7,5,4,3,2,18,16,88.90%,29,28
29,John Kasay,CAR,41,16,0,0,9,9,2,2,14,11,4,3,29,25,86.20%,17,17
30,Shaun Suisham,PIT,29,7,1,1,4,4,1,1,9,8,0,0,15,14,93.30%,19,19
31,Jason Hanson,DET,40,8,0,0,1,1,4,4,5,4,4,3,14,12,85.70%,19,19
32,Steven Hauschka,DEN,25,4,0,0,1,1,3,3,3,2,0,0,7,6,85.70%,10,10
33,Graham Gano,WAS,23,16,1,1,10,8,7,4,14,11,3,0,35,24,68.60%,28,28
