Rank,First,Last,Team,G,Rush,Yds,Y/G,Avg,TD,Rec,Yds,Y/G,Avg,Lng,YAC,1stD,TD,Fum,FumL
1,Maurice,Jones-Drew,JAC,16,343,1606,100.4,4.7,8,43,374,23.4,8.7,48,9.8,18,3,6,1
2,Ray,Rice,BAL,16,291,1364,85.3,4.7,12,76,704,44,9.3,52,9.2,30,3,2,2
3,Michael,Turner,ATL,16,301,1340,83.8,4.5,11,17,168,10.5,9.9,32,8.8,8,0,3,2
4,LeSean,McCoy,PHI,15,273,1309,87.3,4.8,17,48,315,21,6.6,26,8.8,18,3,1,1
5,Arian,Foster,HOU,13,278,1224,94.2,4.4,10,53,617,47.5,11.6,78,12.1,19,2,5,3
6,Trent,Richardson,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Frank,Gore,SFO,16,282,1211,75.7,4.3,8,17,114,7.1,6.7,13,6.1,5,0,2,2
8,Marshawn,Lynch,SEA,15,285,1204,80.3,4.2,12,28,212,14.1,7.6,26,8.1,8,1,3,2
9,Willis,McGahee,DEN,15,249,1199,79.9,4.8,4,12,51,3.4,4.3,12,3.9,2,1,4,3
10,Steven,Jackson,STL,15,260,1145,76.3,4.4,5,42,333,22.2,7.9,50,7.6,17,1,2,1
11,Ryan,Mathews,SDG,14,222,1091,77.9,4.9,6,50,455,32.5,9.1,42,9.3,18,0,5,2
12,Reggie,Bush,MIA,15,216,1086,72.4,5,6,43,296,19.7,6.9,34,7.6,12,1,4,2
13,Cedric,Benson,CIN,15,273,1067,71.1,3.9,6,15,82,5.5,5.5,11,6.5,3,0,5,2
14,Shonn,Greene,NYJ,16,253,1054,65.9,4.2,6,30,211,13.2,7,36,7.2,6,0,1,0
15,Chris,Johnson,TEN,16,262,1047,65.4,4,4,57,418,26.1,7.3,34,6.8,13,0,3,1
16,Beanie,Wells,ARI,14,245,1047,74.8,4.3,10,10,52,3.7,5.2,10,2.2,1,0,4,2
17,Matt,Forte,CHI,12,203,997,83.1,4.9,3,52,490,40.8,9.4,56,8.8,19,1,2,2
18,Michael,Bush,OAK,16,256,977,61.1,3.8,7,37,418,26.1,11.3,55,9.4,14,1,1,1
19,Adrian,Peterson,MIN,12,208,970,80.8,4.7,12,18,139,11.6,7.7,22,7,5,1,1,0
20,Ben,Tate,HOU,15,175,942,62.8,5.4,4,13,98,6.5,7.5,14,6.5,4,0,4,3
21,Fred,Jackson,BUF,10,170,934,93.4,5.5,6,39,442,44.2,11.3,49,12.8,13,0,2,2
22,Rashard,Mendenhall,PIT,15,228,928,61.9,4.1,9,18,154,10.3,8.6,35,9.3,5,0,1,1
23,DeMarco,Murray,DAL,13,164,897,69,5.5,2,26,183,14.1,7,18,9.2,9,0,1,0
24,DeAngelo,Williams,CAR,16,155,836,52.3,5.4,7,16,135,8.4,8.4,32,10.3,6,0,0,0
25,LeGarrette,Blount,CAR,14,184,781,55.8,4.2,5,15,148,10.6,9.9,35,10.3,6,0,5,3
26,Jonathan,Stewart,CAR,16,142,761,47.6,5.4,4,47,413,25.8,8.8,26,11,18,1,1,0
27,BenJarvus,Green-Ellis,NWE,16,181,667,41.7,3.7,11,9,159,9.9,17.7,53,16.1,7,0,0,0
28,Ahmad,Bradshaw,NYG,12,171,659,54.9,3.9,9,34,267,22.3,7.9,26,9.1,10,2,1,1
29,Donald,Brown,IND,16,134,645,40.3,4.8,5,16,86,5.4,5.4,17,6.4,3,0,0,0
30,Roy,Helu,WAS,15,151,640,42.7,4.2,2,49,379,25.3,7.7,47,9.2,12,1,2,2
31,Darren,McFadden,OAK,7,113,614,87.7,5.4,4,19,154,22,8.1,26,9.1,7,1,1,1
32,Darren,Sproles,NOR,16,87,603,37.7,6.9,2,86,710,44.4,8.3,39,8.4,35,7,0,0
33,Jackie,Battle,KAN,15,149,597,39.8,4,2,9,68,4.5,7.6,24,9.2,2,0,0,0
34,Peyton,Hillis,KC,10,161,587,58.7,3.6,3,22,130,13,5.9,52,5.7,5,0,2,1
35,Doug,Martin,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Daniel,Thomas,MIA,13,165,581,44.7,3.5,0,12,72,5.5,6,12,5.6,5,1,2,1
37,James,Starks,GNB,13,133,578,44.5,4.3,1,29,216,16.6,7.4,17,9.8,9,0,2,1
38,Felix,Jones,DAL,12,127,575,47.9,4.5,1,33,221,18.4,6.7,27,8.1,13,0,5,2
39,Brandon,Jacobs,NYG,14,152,571,40.8,3.8,7,15,128,9.1,8.5,40,7.9,6,1,3,0
40,Pierre,Thomas,NOR,16,110,562,35.1,5.1,5,50,425,26.6,8.5,57,9.7,18,1,1,1
41,C.J.,Spiller,BUF,16,107,561,35.1,5.2,4,39,269,16.8,6.9,19,6.3,17,2,2,0
42,Ryan,Grant,GNB,15,134,559,37.3,4.2,2,19,268,17.9,14.1,80,14.6,10,1,1,1
43,Toby,Gerhart,MIN,16,109,531,33.2,4.9,1,23,190,11.9,8.3,42,8.1,8,3,1,0
