Rk,First,Last,Pos,Team,Age,PassYds,TD,Int,RushYds,TD,Rec,Yds,TD,FumLost,FantasyPoints,Avg,ADP
1,Adrian,Peterson,RB,MIN,28,0,0,0,2097,12,40,217,1,2,307.4,0,2.24
2,Doug,Martin,RB,TAM,24,0,0,0,1454,11,49,472,1,1,262.6,0,3.88
3,Arian,Foster,RB,HOU,26,0,0,0,1424,15,40,217,2,2,262.1,0,4.04
4,Trent,Richardson,RB,CLE,23,0,0,0,950,11,51,367,1,0,203.7,0,5.92
5,CJ,Spiller,RB,BUF,25,0,0,0,1244,6,43,459,2,3,212.3,0,8.52
6,LeSean,McCoy,RB,PHI,25,0,0,0,840,2,54,373,3,3,145.3,0,8.84
7,Ray,Rice,RB,BAL,26,0,0,0,1143,9,61,478,1,0,222.1,0,8.92
8,Marshawn,Lynch,RB,SEA,27,0,0,0,1590,11,23,196,1,2,246.6,0,11.76
9,Jamaal,Charles,RB,KAN,26,0,0,0,1509,5,35,236,1,3,204.5,0,11.88
10,Alfred,Morris,RB,WAS,24,0,0,0,1613,13,11,77,0,3,241,0,15.2
11,Matt,Forte,RB,CHI,27,0,0,0,1094,5,44,340,1,1,177.4,0,21.12
12,Chris,Johnson,RB,TEN,27,0,0,0,1243,6,36,232,0,4,175.5,0,24.6
13,Maurice,Jones-Drew,RB,JAC,28,0,0,0,414,1,14,86,1,0,62,0,28.28
14,Darren,McFadden,RB,OAK,25,0,0,0,707,2,42,258,1,2,110.5,0,29
15,David,Wilson,RB,NYG,22,0,0,0,358,4,4,34,1,1,67.2,0,29.5
16,DeMarco,Murray,RB,DAL,25,0,0,0,663,4,35,251,0,2,111.4,0,31.21
17,Stevan,Ridley,RB,NWE,24,0,0,0,1263,12,6,51,0,2,199.4,0,32.28
18,Steven,Jackson,RB,ATL,29,0,0,0,1042,4,38,321,0,0,162.3,0,41.2
19,Frank,Gore,RB,SFO,30,0,0,0,1214,9,28,234,1,1,202.8,0,43.2
