Rank,First,Last,Team,G,Rec,Yds,Y/G,Avg,Lng,YAC,1stD,TD,Rush,Yds,Y/G,Avg,TD,Fum,FumL,RetTD
1,Rob,Gronkowski,NWE,16,90,1327,82.9,14.7,52,7.4,69,17,1,2,0.1,2,1,0,0,0
2,Jimmy,Graham,NOR,16,99,1310,81.9,13.2,59,4.9,74,11,0,0,0,0,0,1,1,0
3,Jason,Witten,DAL,16,79,942,58.9,11.9,64,4.5,47,5,0,0,0,0,0,1,0,0
4,Aaron,Hernandez,NWE,14,79,910,65,11.5,46,6.8,46,7,5,45,3.2,9,0,1,1,0
5,Tony,Gonzalez,ATL,16,80,875,54.7,10.9,30,3.2,53,7,0,0,0,0,0,0,0,0
6,Dustin,Keller,NYJ,16,65,815,50.9,12.5,41,5,39,5,0,0,0,0,0,1,1,0
7,Brent,Celek,PHI,16,62,811,50.7,13.1,73,8.1,35,5,0,0,0,0,0,0,0,0
8,Fred,Davis,WAS,12,59,796,66.3,13.5,42,6.1,39,3,0,0,0,0,0,1,1,0
9,Vernon,Davis,SFO,16,67,792,49.5,11.8,44,5.2,33,6,2,-5,-0.3,-2.5,0,3,1,0
10,Antonio,Gates,SDG,13,64,778,59.8,12.2,38,4.3,45,7,0,0,0,0,0,0,0,0
11,Brandon,Pettigrew,DET,16,83,777,48.6,9.4,27,4.1,37,5,0,0,0,0,0,0,0,0
12,Jermichael,Finley,GNB,16,55,767,47.9,13.9,41,4.5,44,8,0,0,0,0,0,0,0,0
13,Kellen,Winslow,SEA,16,75,763,47.7,10.2,37,3.5,40,2,0,0,0,0,0,2,1,0
14,Jared,Cook,TEN,16,49,759,47.4,15.5,80,6.8,34,3,0,0,0,0,0,2,2,0
15,Owen,Daniels,HOU,15,54,677,45.1,12.5,34,5.8,41,3,0,0,0,0,0,0,0,0
16,Heath,Miller,PIT,16,51,631,39.4,12.4,39,5.3,36,2,1,6,0.4,6,0,1,1,0
17,Jake,Ballard,NYG,14,38,604,43.1,15.9,41,5.2,31,4,0,0,0,0,0,0,0,0
18,Jermaine,Gresham,CIN,14,56,596,42.6,10.6,31,3.6,31,6,0,0,0,0,0,1,1,0
19,Coby,Fleener,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Greg,Olsen,CAR,16,45,540,33.8,12,44,4.7,27,5,0,0,0,0,0,1,1,0
21,Ed,Dickson,BAL,16,54,528,33,9.8,25,3.4,30,5,0,0,0,0,0,0,0,0
22,Marcedes,Lewis,JAC,15,39,460,30.7,11.8,62,4.3,22,0,0,0,0,0,0,0,0,0
23,Jeremy,Shockey,CAR,15,37,455,30.3,12.3,29,5,24,4,0,0,0,0,0,2,1,0
24,Anthony,Fasano,MIA,15,32,451,30.1,14.1,35,3.5,25,5,0,0,0,0,0,0,0,0
25,Benjamin,Watson,CLE,13,37,410,31.5,11.1,34,5.5,21,2,0,0,0,0,0,0,0,0
26,Visanthe,Shiancoe,MIN,16,36,409,25.6,11.4,37,4.3,26,3,0,0,0,0,0,0,0,0
