Rank,First,Last,Team,G,Rec,Tgt,Yds,YG,Avg,Lng,YAC,1stD,TD,Rush,Yds,YG,TD,Fum,FumL,RetTD
1,Josh,Gordon,CLE,14,87,159,1646,117.6,18.9,95,7.4,64,9,0,0,0,0,0,0,0
2,Antonio,Brown,PIT,16,110,166,1499,93.7,13.6,56,5.5,69,8,0,0,0,0,0,0,1
3,Calvin,Johnson,DET,14,84,156,1492,106.6,17.8,87,5.9,69,12,0,0,0,0,1,1,0
4,Demaryius,Thomas,DEN,16,92,142,1430,89.4,15.5,78,7.8,66,14,0,0,0,0,1,0,0
5,A.J.,Green,CIN,16,98,178,1426,89.1,14.6,82,4.3,65,11,0,0,0,0,1,0,0
6,Alshon,Jeffery,CHI,16,89,149,1421,88.8,16,80,4.9,62,7,0,0,0,0,3,1,0
7,Andre,Johnson,HOU,16,109,181,1407,87.9,12.9,62,3.9,69,5,0,0,0,0,0,0,0
8,Pierre,Garcon,WAS,16,113,182,1346,84.1,11.9,53,5.9,60,5,0,0,0,0,1,1,0
9,DeSean,Jackson,NYJ,16,82,126,1332,83.3,16.2,61,6.2,60,9,0,0,0,0,1,0,0
10,Jordy,Nelson,GNB,16,85,127,1314,82.1,15.5,76,5.3,60,8,0,0,0,0,0,0,0
11,Brandon,Marshall,CHI,16,100,164,1295,80.9,13,44,3.2,70,12,0,0,0,0,0,0,0
12,Eric,Decker,NYJ,16,87,136,1288,80.5,14.8,61,4.6,63,11,0,0,0,0,2,1,0
13,Dez,Bryant,DAL,16,93,159,1233,77.1,13.3,79,5.6,67,13,0,0,0,0,3,1,0
14,Vincent,Jackson,TAM,16,78,159,1224,76.5,15.7,60,4.2,60,7,0,0,0,0,1,0,0
15,Anquan,Boldin,SFO,16,85,129,1179,73.7,13.9,63,5.5,62,7,0,0,0,0,0,0,0
16,Torrey,Smith,BAL,16,65,137,1128,70.5,17.4,74,6.2,49,4,0,0,0,0,1,0,0
17,T.Y.,Hilton,IND,16,82,138,1083,67.7,13.2,73,4.9,46,5,0,0,0,0,0,0,0
18,Kendall,Wright,TEN,16,94,139,1079,67.4,11.5,45,6.3,52,2,0,0,0,0,2,0,0
19,Harry,Douglas,ATL,16,85,132,1067,66.7,12.6,80,6.3,47,2,0,0,0,0,2,1,0
20,Julian,Edelman,NWE,16,105,151,1056,66,10.1,44,4.8,54,6,0,0,0,0,0,0,0
21,Keenan,Allen,SDG,15,71,104,1046,69.7,14.7,43,6.2,54,8,0,0,0,0,1,1,0
22,Michael,Floyd,ARI,16,65,111,1041,65.1,16,91,4.4,48,5,0,0,0,0,0,0,0
23,Brian,Hartline,MIA,16,76,133,1016,63.5,13.4,50,4.2,53,4,0,0,0,0,0,0,0
24,Victor,Cruz,NYG,14,73,122,998,71.3,13.7,70,3.7,45,4,0,0,0,0,1,1,0
25,Larry,Fitzgerald,ARI,16,82,135,954,59.6,11.6,75,4.3,49,10,0,0,0,0,1,1,0
26,Marques,Colston,NOR,15,75,110,943,62.9,12.6,35,3.4,54,5,0,0,0,0,0,0,0
