Rank,First,Last,Team,G,Rec,Tgt,Yds,YG,Avg,Lng,YAC,1stD,TD,Rush,Yds,YG,TD,Fum,FumL,RetTD
1,Jimmy,Graham,NOR,16,86,142,1215,75.9,14.1,56,5.2,61,16,0,0,0,0,0,0,0
2,Jordan,Cameron,CLE,15,80,118,917,61.1,11.5,53,3.2,47,7,0,0,0,0,1,0,0
3,Antonio,Gates,SDG,16,77,113,872,54.5,11.3,56,5.3,49,4,0,0,0,0,2,2,0
4,Tony,Gonzalez,ATL,16,83,121,859,53.7,10.3,25,2.9,56,8,0,0,0,0,0,0,0
5,Jason,Witten,DAL,16,73,111,851,53.2,11.7,34,4.6,44,8,0,0,0,0,0,0,0
6,Vernon,Davis,SFO,15,52,84,850,56.7,16.3,64,5.4,35,13,0,0,0,0,1,1,0
7,Greg,Olsen,CAR,16,73,111,816,51,11.2,31,4.8,44,6,0,0,0,0,0,0,0
8,Julius,Thomas,DEN,14,65,90,788,56.3,12.1,74,6.2,41,12,0,0,0,0,0,0,0
9,Martellus,Bennett,CHI,16,65,94,759,47.4,11.7,43,6.2,40,5,0,0,0,0,1,1,0
10,Charles,Clay,MIA,16,69,102,759,47.4,11,67,5.5,36,6,7,15,0.9,1,0,0,0
11,Jared,Cook,STL,16,51,86,671,41.9,13.2,47,5.4,34,5,0,0,0,0,1,1,0
12,Scott,Chandler,BUF,16,53,81,655,40.9,12.4,33,5.2,26,2,0,0,0,0,1,1,0
13,Coby,Fleener,IND,16,52,87,608,38,11.7,44,5.1,32,4,0,0,0,0,1,0,0
14,Heath,Miller,PIT,14,58,78,593,42.4,10.2,31,4.5,30,1,0,0,0,0,1,1,0
15,Rob,Gronkowski,NWE,7,39,66,592,84.6,15.2,50,5.4,31,4,0,0,0,0,0,0,0
16,Delanie,Walker,TEN,15,60,86,571,38.1,9.5,33,3.2,30,6,0,0,0,0,1,0,0
17,Tim,Wright,TAM,16,54,76,571,35.7,10.6,36,2.6,30,5,1,2,0.1,0,0,0,0
18,Garrett,Graham,HOU,13,49,89,545,41.9,11.1,42,4.5,26,5,0,0,0,0,2,1,0
19,Brandon,Myers,TAM,16,47,76,522,32.6,11.1,27,3.8,28,4,0,0,0,0,0,0,0
20,Brent,Celek,PHI,16,32,51,502,31.4,15.7,42,9.5,22,6,0,0,0,0,1,1,0
21,Jordan,Reed,WAS,9,45,59,499,55.4,11.1,38,5.7,30,3,1,18,2,0,0,0,0
22,Zach,Ertz,PHI,16,36,56,469,29.3,13,38,4.8,25,4,0,0,0,0,0,0,0
23,Jermaine,Gresham,CIN,14,46,67,458,32.7,10,30,6.1,24,4,0,0,0,0,3,3,0
24,Rob,Housler,ARI,13,39,57,454,34.9,11.6,31,5.4,22,1,0,0,0,0,1,0,0
25,Tyler,Eifert,CIN,15,39,60,445,29.7,11.4,61,6.3,19,2,0,0,0,0,0,0,0
26,Brandon,Pettigrew,DET,14,41,63,416,29.7,10.1,31,5,19,2,0,0,0,0,1,1,0
27,Mychal,Rivera,OAK,16,38,60,407,25.4,10.7,37,2.9,25,4,0,0,0,0,0,0,0
28,Jeff,Cumberland,NYJ,15,26,40,398,26.5,15.3,47,6.3,15,4,0,0,0,0,0,0,0
29,Kellen,Winslow,NYJ,12,31,47,388,32.3,12.5,34,4.2,20,2,0,0,0,0,0,0,0
30,Zach,Miller,SEA,14,33,56,387,27.6,11.7,60,4.8,18,5,0,0,0,0,0,0,0
31,Ladarius,Green,SDG,16,17,30,376,23.5,22.1,60,9.8,15,3,0,0,0,0,0,0,0
32,Marcedes,Lewis,JAC,11,25,47,359,32.6,14.4,41,9.2,17,4,0,0,0,0,1,1,0
33,John,Carlson,ARI,13,32,47,344,26.5,10.8,30,5.3,19,1,0,0,0,0,0,0,0
34,Dallas,Clark,IND,12,31,52,343,28.6,11.1,45,5.5,19,3,0,0,0,0,0,0,0
35,Kyle,Rudolph,MIN,8,30,46,313,39.1,10.4,31,4.3,12,3,0,0,0,0,0,0,0
36,Andrew,Quarless,GNB,16,32,53,312,19.5,9.8,22,4.6,18,2,0,0,0,0,0,0,0
37,Sean,McGrath,KAN,16,26,40,302,18.9,11.6,25,5.4,16,2,0,0,0,0,0,0,0
38,Jermichael,Finley,GNB,6,25,34,300,50,12,52,9.4,13,3,0,0,0,0,0,0,0
39,Clay,Harbor,JAC,16,24,35,292,18.3,12.2,31,5.6,16,2,0,0,0,0,2,1,0
40,Ed,Dickson,BAL,16,25,43,273,17.1,10.9,43,5.2,16,1,0,0,0,0,0,0,0
41,Luke,Willson,SEA,16,20,28,272,17,13.6,39,9.2,13,1,0,0,0,0,0,0,0
42,Logan,Paulsen,WAS,16,28,50,267,16.7,9.5,33,3.6,11,3,0,0,0,0,2,2,0
43,Lance,Kendricks,STL,15,32,46,258,17.2,8.1,21,3.5,16,4,0,0,0,0,0,0,0
44,Owen,Daniels,HOU,5,24,41,252,50.4,10.5,28,3.5,18,3,0,0,0,0,0,0,0
45,Ryan,Griffin,HOU,15,19,28,244,16.3,12.8,40,4.4,14,1,0,0,0,0,0,0,0
46,Benjamin,Watson,NOR,15,19,30,226,15.1,11.9,32,5.3,14,2,0,0,0,0,0,0,0
