Rank,First,Last,Team,G,Rec,Tgt,Yds,Y/G,Avg,Lng,YAC,1stD,TD,Rush,Yds,Y/G,Avg,TD,Fum,FumL,Ret
1,Rob,Gronkowski,NWE,15,82,131,1124,74.9,13.7,46,5.9,60,12,0,0,0.0,N/A,0,0,0,0
2,Greg,Olsen,CAR,16,84,123,1008,63.0,12.0,38,4.4,56,6,0,0,0.0,N/A,0,1,0,0
3,Martellus,Bennett,CHI,16,90,128,916,57.3,10.2,37,5.3,43,6,0,0,0.0,N/A,0,0,0,0
4,Delanie,Walker,TEN,15,63,106,890,59.3,14.1,68,6.1,34,4,0,0,0.0,N/A,0,2,0,0
5,Jimmy,Graham,SEA,16,85,125,889,55.6,10.5,29,3.5,54,10,0,0,0.0,N/A,0,2,2,0
6,Travis,Kelce,KAN,16,67,87,862,53.9,12.9,34,7.6,45,5,0,0,0.0,N/A,0,4,3,0
7,Antonio,Gates,SDG,16,69,98,821,51.3,11.9,34,4.0,44,12,0,0,0.0,N/A,0,1,0,0
8,Coby,Fleener,IND,16,51,92,774,48.4,15.2,73,6.0,40,8,0,0,0.0,N/A,0,0,0,0
9,Heath,Miller,PIT,16,66,91,761,47.6,11.5,49,5.3,42,3,0,0,0.0,N/A,0,1,1,0
10,Jason,Witten,DAL,16,64,90,703,43.9,11.0,34,3.8,48,5,0,0,0.0,N/A,0,0,0,0
11,Zach,Ertz,PHI,16,58,89,702,43.9,12.1,35,4.3,42,3,0,0,0.0,N/A,0,1,1,0
12,Jared,Cook,STL,16,52,99,634,39.6,12.2,59,5.2,32,3,1,0,0.0,0.0,0,0,0,0
13,Larry,Donnell,NYG,16,63,92,623,38.9,9.9,32,3.6,36,6,0,0,0.0,N/A,0,4,4,0
14,Charles,Clay,BUF,14,58,84,605,43.2,10.4,41,4.7,31,3,0,0,0.0,N/A,0,0,0,0
15,Mychal,Rivera,OAK,16,58,99,534,33.4,9.2,33,3.2,29,4,0,0,0.0,N/A,0,3,1,0
16,Owen,Daniels,BAL,15,48,79,527,35.1,11.0,39,3.9,32,4,0,0,0.0,N/A,0,0,0,0
17,Niles,Paul,WAS,16,39,52,507,31.7,13.0,50,6.8,20,1,0,0,0.0,N/A,0,1,1,0
18,Scott,Chandler,BUF,16,47,70,497,31.1,10.6,37,4.2,28,3,0,0,0.0,N/A,0,0,0,0
19,Julius,Thomas,DEN,13,43,62,489,37.6,11.4,35,4.2,30,12,0,0,0.0,N/A,0,1,0,0
20,Jordan,Reed,WAS,11,50,65,465,42.3,9.3,30,5.5,23,0,0,0,0.0,N/A,0,1,1,0
21,Jermaine,Gresham,ARI,15,62,79,460,30.7,7.4,23,4.3,24,5,0,0,0.0,N/A,0,3,0,0
22,Jordan,Cameron,MIA,10,24,48,424,42.4,17.7,81,7.8,13,2,0,0,0.0,N/A,0,0,0,0
23,Dwayne,Allen,IND,13,29,50,395,30.4,13.6,41,5.8,24,8,0,0,0.0,N/A,0,1,0,0
24,Luke,Willson,SEA,15,22,40,362,24.1,16.5,80,10.1,14,3,0,0,0.0,N/A,0,0,0,0
25,John,Carlson,ARI,16,33,55,350,21.9,10.6,32,4.9,17,1,0,0,0.0,N/A,0,0,0,0
26,Jace,Amaro,NYJ,14,38,53,345,24.6,9.1,43,4.6,20,2,0,0,0.0,N/A,0,1,0,0
27,Brent,Celek,PHI,16,32,51,340,21.3,10.6,37,4.8,16,1,0,0,0.0,N/A,0,1,1,0
28,Andrew,Quarless,GNB,16,29,46,323,20.2,11.1,34,5.8,20,3,0,0,0.0,N/A,0,0,0,0
29,Clay,Harbor,JAC,13,26,35,289,22.2,11.1,59,7.0,12,1,0,0,0.0,N/A,0,0,0,0
30,Dion,Sims,MIA,14,24,36,284,20.3,11.8,38,4.9,13,2,0,0,0.0,N/A,0,0,0,0
31,Tim,Wright,NWE,16,26,33,259,16.2,10.0,30,3.8,18,6,1,-2,-0.1,-2.0,0,0,0,0
32,Lance,Kendricks,STL,16,27,38,259,16.2,9.6,23,4.0,17,5,0,0,0.0,N/A,0,0,0,0
33,Chase,Ford,MIN,11,23,35,258,23.5,11.2,22,2.8,15,1,0,0,0.0,N/A,0,0,0,0
34,Eric,Ebron,DET,13,25,47,248,19.1,9.9,22,5.2,14,1,0,0,0.0,N/A,0,0,0,0
35,Jeff,Cumberland,NYJ,16,23,47,247,15.4,10.7,28,4.3,12,3,0,0,0.0,N/A,0,0,0,0
36,Vernon,Davis,SFO,14,26,50,245,17.5,9.4,29,2.2,11,2,1,4,0.3,4.0,0,0,0,0
37,Jim,Dray,CLE,16,17,28,242,15.1,14.2,31,6.6,12,1,0,0,0.0,N/A,0,0,0,0
38,Levine,Toilolo,ATL,16,31,53,238,14.9,7.7,20,3.1,15,2,0,0,0.0,N/A,0,1,1,0
39,Kyle,Rudolph,MIN,9,24,34,231,25.7,9.6,23,5.0,13,2,0,0,0.0,N/A,0,1,0,0
40,Anthony,Fasano,TEN,15,25,36,226,15.1,9.0,22,3.8,15,4,0,0,0.0,N/A,0,0,0,0
41,Ladarius,Green,SDG,14,19,25,226,16.1,11.9,28,6.5,12,0,0,0,0.0,N/A,0,0,0,0
42,Richard,Rodgers,GNB,16,20,30,225,14.1,11.3,43,2.8,9,2,0,0,0.0,N/A,0,0,0,0
43,Austin,Seferian-Jenkins,TAM,9,21,38,221,24.6,10.5,30,2.0,12,2,0,0,0.0,N/A,0,1,1,0
44,Rhett,Ellison,MIN,16,19,26,208,13.0,10.9,40,8.3,12,1,0,0,0.0,N/A,0,0,0,0
45,Marcedes,Lewis,JAC,8,18,31,206,25.8,11.4,63,8.1,10,2,0,0,0.0,N/A,0,0,0,0
46,Garrett,Graham,HOU,11,18,28,197,17.9,10.9,26,3.7,10,1,0,0,0.0,N/A,0,0,0,0
47,Brandon,Myers,TAM,14,22,32,190,13.6,8.6,26,3.2,8,0,0,0,0.0,N/A,0,0,0,0
48,Daniel,Fells,NYG,16,16,20,188,11.8,11.8,27,5.7,12,4,0,0,0.0,N/A,0,1,1,0
49,Cooper,Helfet,SEA,10,12,24,185,18.5,15.4,36,5.8,9,2,0,0,0.0,N/A,0,0,0,0
50,Josh,Hill,NOR,16,14,20,176,11.0,12.6,37,7.3,9,5,0,0,0.0,N/A,0,0,0,0
51,Gary,Barnidge,CLE,13,13,25,156,12.0,12.0,28,3.5,9,0,0,0,0.0,N/A,0,0,0,0
52,Benjamin,Watson,NOR,16,20,31,136,8.5,6.8,15,4.0,9,2,0,0,0.0,N/A,0,0,0,0
53,MarQueis,Gray,BUF,5,9,11,134,10.3,14.9,41,9.9,4,0,0,0,0.0,N/A,0,0,0,0
54,Tony,Moeaki,SEA,6,8,13,134,22.3,16.8,63,9.3,6,1,0,0,0.0,N/A,0,0,0,0
55,Rob,Housler,ARI,15,9,17,129,8.6,14.3,27,9.9,7,0,1,1,0.1,1.0,0,0,0,0
56,Dennis,Pitta,BAL,3,16,21,125,41.7,7.8,24,3.8,7,0,0,0,0.0,N/A,0,0,0,0
57,Crockett,Gillmore,BAL,15,10,15,121,8.1,12.1,22,5.8,8,1,0,0,0.0,N/A,0,0,0,0
58,Jack,Doyle,IND,16,18,22,118,7.4,6.6,20,6.2,7,2,0,0,0.0,N/A,0,0,0,0
59,Dante,Rosario,CHI,16,16,22,116,7.3,7.3,22,3.8,3,0,0,0,0.0,N/A,0,1,1,0
60,Ed,Dickson,CAR,16,10,17,115,7.2,11.5,34,6.8,9,1,0,0,0.0,N/A,0,1,0,0
61,Jacob,Tamme,DEN,15,14,28,109,7.3,7.8,26,1.8,4,2,0,0,0.0,N/A,0,1,1,0
62,Gavin,Escobar,DAL,16,9,13,105,6.6,11.7,26,2.4,7,4,0,0,0.0,N/A,0,0,0,0
63,Derek,Carrier,SFO,11,9,14,105,9.5,11.7,23,4.7,4,0,1,2,0.2,2.0,0,1,0,0
64,Ryan,Griffin,HOU,16,10,16,91,5.7,9.1,25,3.8,5,1,0,0,0.0,N/A,0,0,0,0
65,Ryan,Hewitt,CIN,16,10,15,86,5.4,8.6,19,6.0,3,0,1,0,0.0,0.0,0,0,0,0
66,Zach,Sudfeld,NYJ,16,5,7,85,5.3,17.0,38,12.2,3,0,0,0,0.0,N/A,0,0,0,0
67,Logan,Paulsen,WAS,16,13,16,78,4.9,6.0,16,4.0,2,1,0,0,0.0,N/A,0,1,1,0
68,Zach,Miller,SEA,3,6,7,76,25.3,12.7,24,6.2,3,0,0,0,0.0,N/A,0,0,0,0
69,Joseph,Fauria,DET,7,6,12,74,10.6,12.3,26,5.5,4,1,0,0,0.0,N/A,0,0,0,0
70,Virgil,Green,DEN,13,6,6,74,5.7,12.3,38,7.5,5,1,2,3,0.2,1.5,0,0,0,0
71,Darren,Fells,ARI,10,5,12,71,7.1,14.2,24,4.0,4,0,0,0,0.0,N/A,0,0,0,0
72,Brandon,Pettigrew,DET,14,10,15,70,5.0,7.0,13,3.4,4,0,0,0,0.0,N/A,0,0,0,0
73,Chase,Coffman,TEN,13,6,14,64,4.9,10.7,18,3.2,4,1,0,0,0.0,N/A,0,0,0,0
74,James,Casey,PHI,16,3,3,59,3.7,19.7,26,2.3,3,2,0,0,0.0,N/A,0,0,0,0
75,Cory,Harkey,STL,16,8,11,55,3.4,6.9,21,5.0,5,1,0,0,0.0,N/A,0,0,0,0
76,Garrett,Celek,SFO,3,2,2,53,17.7,26.5,31,5.0,2,0,0,0,0.0,N/A,0,0,0,0
77,Adrien,Robinson,NYG,16,5,7,50,3.1,10.0,29,10.8,3,1,0,0,0.0,N/A,0,0,0,0
78,James,Hanna,DAL,16,4,6,48,3.0,12.0,27,3.3,3,0,0,0,0.0,N/A,0,0,0,0
79,Chris,Gragg,BUF,10,7,10,48,4.8,6.9,14,3.6,4,1,0,0,0.0,N/A,0,0,0,0
80,Matt,Spaeth,PIT,15,3,4,46,3.1,15.3,33,6.0,2,1,0,0,0.0,N/A,0,0,0,0
81,Brandon,Williams,CAR,14,4,8,44,3.1,11.0,16,2.5,4,0,0,0,0.0,N/A,0,0,0,0
82,Michael,Hoomanawanui,NWE,16,3,6,44,2.8,14.7,23,1.7,2,0,0,0,0.0,N/A,0,0,0,0
83,Lee,Smith,BUF,14,7,8,42,3.0,6.0,18,3.0,3,1,0,0,0.0,N/A,0,0,0,0
84,Luke,Stocker,TAM,13,7,11,41,3.2,5.9,11,3.0,2,0,0,0,0.0,N/A,0,0,0,0
85,Troy,Niklas,ARI,7,3,3,38,5.4,12.7,17,6.0,2,0,0,0,0.0,N/A,0,0,0,0
86,Tyler,Eifert,CIN,1,3,3,37,37.0,12.3,20,3.3,2,0,0,0,0.0,N/A,0,0,0,0
87,Brian,Leonhardt,OAK,12,6,8,35,2.9,5.8,12,1.3,2,1,0,0,0.0,N/A,0,0,0,0
88,Vance,McDonald,SFO,8,2,8,30,3.8,15.0,21,13.0,0,0,0,0,0.0,N/A,0,1,1,0
89,Phillip,Supernaw,KAN,2,3,3,30,3.8,10.0,29,7.7,1,0,0,0,0.0,N/A,0,1,0,0
90,C.J.,Fiedorowicz,HOU,15,4,7,28,1.9,7.0,9,2.5,1,1,0,0,0.0,N/A,0,0,0,0
91,Craig,Stevens,TEN,5,2,2,26,5.2,13.0,20,8.5,1,0,0,0,0.0,N/A,0,0,0,0
92,Taylor,Thompson,TEN,3,2,4,24,8.0,12.0,13,5.5,2,0,0,0,0.0,N/A,0,0,0,0
93,Gator,Hoskins,MIA,11,3,4,21,1.9,7.0,14,4.7,2,0,0,0,0.0,N/A,0,0,0,0
94,Kevin,Brock,CIN,14,5,6,21,1.5,4.2,10,2.2,2,0,0,0,0.0,N/A,0,0,0,0
