R,First,Last,Team,G,0-19,20-30,30-40,40-50,50+,FGM,FGA,Pct,Lng,XPM,XPA,Pct,Pts
1,David,Akers,SFO,16,2,16,13,6,7,44,52,84.6,55,34,34,100,166
2,Mike,Nugent,CIN,16,0,14,5,14,0,33,38,86.8,49,33,34,97.1,132
3,Neil,Rackers,HOU,16,0,14,10,4,4,32,38,84.2,54,39,40,97.5,135
4,Dan,Bailey,DAL,16,1,8,11,10,2,32,37,86.5,51,39,39,100,135
5,Graham,Gano,WAS,16,0,14,5,8,4,31,41,75.6,59,25,26,96.2,118
6,Sebastian,Janikowski,OAK,15,1,8,5,10,7,31,35,88.6,63,36,36,100,129
7,Rob,Bironas,TEN,16,0,5,9,9,6,29,32,90.6,53,34,34,100,121
8,Dan,Carpenter,MIA,14,0,10,6,11,2,29,34,85.3,58,26,26,100,113
9,Stephen,Gostkowski,NWE,16,1,12,5,9,1,28,33,84.8,50,59,59,100,143
10,Robbie,Gould,CHI,16,0,10,6,6,6,28,32,87.5,57,37,37,100,121
11,John,Kasay,NOR,16,0,11,10,5,2,28,34,82.4,53,63,63,100,147
12,Billy,Cundiff,BAL,15,1,9,10,7,1,28,37,75.7,51,38,38,100,122
13,Matt,Bryant,ATL,16,2,9,9,5,2,27,29,93.1,51,45,45,100,126
14,Nick,Novak,SDG,15,0,11,4,8,4,27,34,79.4,53,41,42,97.6,122
15,Connor,Barth,TAM,16,0,5,6,13,2,26,28,92.9,55,23,23,100,101
16,Steven,Hauschka,SEA,16,2,5,9,7,2,25,30,83.3,52,34,34,100,109
17,Phil,Dawson,CLE,16,0,7,3,7,7,24,29,82.8,54,20,20,100,92
18,Jason,Hanson,DET,16,0,9,8,2,5,24,29,82.8,51,54,54,100,126
19,Ryan,Succop,KAN,16,1,7,6,7,3,24,30,80,54,20,20,100,92
20,Mason,Crosby,GNB,16,1,4,14,3,2,24,28,85.7,58,68,69,98.6,140
21,Alex,Henery,PHI,16,0,10,9,4,1,24,27,88.9,51,46,46,100,118
22,Shaun,Suisham,PIT,16,2,8,6,6,1,23,31,74.2,51,36,36,100,105
23,Josh,Scobee,JAC,16,1,5,5,7,5,23,25,92,55,24,24,100,93
24,Adam,Vinatieri,IND,16,0,7,6,8,2,23,27,85.2,53,24,24,100,93
25,Ryan,Longwell,MIN,16,0,7,7,6,2,22,28,78.6,53,38,39,97.4,104
26,Olindo,Mare,CAR,16,1,7,6,8,0,22,28,78.6,45,44,45,97.8,110
27,Josh,Brown,STL,16,0,7,6,8,0,21,28,75,49,18,18,100,81
28,Jay,Feely,ARI,16,0,9,4,5,1,19,24,79.2,51,33,33,100,90
29,Matt,Prater,DEN,16,0,5,8,3,3,19,25,76,59,30,30,100,87
30,Lawrence,Tynes,NYG,16,0,12,3,3,1,19,24,79.2,50,43,43,100,100
31,Nick,Folk,NYJ,16,0,5,6,5,3,19,25,76,51,44,44,100,101
32,Rian,Lindell,BUF,8,0,6,2,5,0,13,15,86.7,49,25,25,100,64
33,Dave,Rayner,BUF,7,0,5,3,0,2,10,15,66.7,56,13,13,100,43
34,Shayne,Graham,MIA,2,0,4,0,2,0,6,7,85.7,48,8,8,100,26
35,Nate,Kaeding,SDG,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Brandon,Coutu,BUF,1,0,0,0,0,0,0,1,0,0,3,3,100,3
37,David,Buehler,DAL,4,0,0,0,0,0,0,0,0,0,0,0,0,0
