Tm,Wk,PA
PIT,1,35
PIT,2,0
PIT,3,20
PIT,4,17
PIT,5,17
PIT,6,13
PIT,7,20
PIT,8,17
PIT,9,23
PIT,10,17
PIT,12,9
PIT,13,7
PIT,14,3
PIT,15,20
PIT,16,0
PIT,17,9
GNB,1,30
GNB,2,10
GNB,3,14
GNB,4,27
GNB,5,30
GNB,6,24
GNB,7,20
GNB,8,15
GNB,9,17
GNB,11,20
GNB,12,38
GNB,13,14
GNB,14,20
GNB,15,13
GNB,16,7
GNB,17,37
BAL,1,13
BAL,2,24
BAL,3,30
BAL,4,16
BAL,5,6
BAL,6,29
BAL,7,43
BAL,9,15
BAL,10,20
BAL,11,10
BAL,12,13
BAL,13,23
BAL,14,31
BAL,15,34
BAL,16,14
BAL,17,23
PHI,1,13
PHI,2,35
PHI,3,29
PHI,4,24
PHI,5,3
PHI,6,13
PHI,8,34
PHI,9,30
PHI,10,21
PHI,11,17
PHI,12,38
PHI,13,31
PHI,14,10
PHI,15,19
PHI,16,7
PHI,17,10
NYJ,1,24
NYJ,2,3
NYJ,3,34
NYJ,4,34
NYJ,5,30
NYJ,6,6
NYJ,7,21
NYJ,9,11
NYJ,10,37
NYJ,11,17
NYJ,12,24
NYJ,13,19
NYJ,14,10
NYJ,15,45
NYJ,16,29
NYJ,17,19
NOR,1,40
NOR,2,35
NOR,3,27
NOR,4,28
NOR,5,24
NOR,7,28
NOR,8,34
NOR,9,13
NOR,10,27
NOR,11,17
NOR,12,31
NOR,13,23
NOR,14,52
NOR,15,0
NOR,16,31
NOR,17,44
CHI,1,21
CHI,2,23
CHI,3,6
CHI,4,18
CHI,5,3
CHI,7,7
CHI,8,22
CHI,9,20
CHI,10,13
CHI,11,32
CHI,12,10
CHI,13,23
CHI,14,21
CHI,15,21
CHI,16,13
CHI,17,24
NWE,1,13
NWE,2,20
NWE,3,31
NWE,4,28
NWE,5,21
NWE,6,24
NWE,7,26
NWE,8,7
NWE,10,31
NWE,11,24
NWE,12,19
NWE,13,16
NWE,14,14
NWE,15,41
NWE,16,16
NWE,17,0
NYG,1,28
NYG,2,16
NYG,3,16
NYG,4,27
NYG,5,36
NYG,6,24
NYG,8,17
NYG,9,20
NYG,10,27
NYG,11,17
NYG,12,49
NYG,13,38
NYG,14,34
NYG,15,23
NYG,16,14
NYG,17,14
TAM,1,27
TAM,2,20
TAM,3,13
TAM,4,17
TAM,5,48
TAM,6,20
TAM,7,24
TAM,9,27
TAM,10,37
TAM,11,35
TAM,12,23
TAM,13,38
TAM,14,41
TAM,15,31
TAM,16,48
TAM,17,45
SDG,1,17
SDG,2,35
SDG,3,17
SDG,4,16
SDG,5,24
SDG,7,27
SDG,8,23
SDG,9,45
SDG,10,24
SDG,11,31
SDG,12,16
SDG,13,14
SDG,14,10
SDG,15,14
SDG,16,38
SDG,17,26
DAL,1,17
DAL,2,27
DAL,3,10
DAL,4,34
DAL,6,31
DAL,7,14
DAL,8,29
DAL,9,19
DAL,10,23
DAL,11,20
DAL,12,38
DAL,13,33
DAL,14,19
DAL,15,24
DAL,16,34
DAL,17,28
ATL,1,24
ATL,2,21
ATL,3,3
ATL,4,28
ATL,5,17
ATL,6,20
ATL,7,17
ATL,9,13
ATL,10,31
ATL,11,19
ATL,12,23
ATL,13,13
ATL,14,30
ATL,15,0
ATL,16,18
ATL,17,22
KAN,1,40
KAN,2,35
KAN,3,24
KAN,4,37
KAN,5,9
KAN,6,38
KAN,8,26
KAN,9,31
KAN,10,16
KAN,11,28
KAN,12,17
KAN,13,21
KAN,14,30
KAN,15,15
KAN,16,20
KAN,17,38
MIA,1,30
MIA,2,13
MIA,3,23
MIA,4,24
MIA,5,13
MIA,6,14
MIA,8,9
MIA,9,23
MIA,10,37
MIA,11,19
MIA,12,21
MIA,13,23
MIA,14,27
MIA,15,23
MIA,16,10
MIA,17,28
TEN,1,16
TEN,2,13
TEN,3,14
TEN,4,13
TEN,5,38
TEN,7,41
TEN,8,10
TEN,9,24
TEN,10,3
TEN,11,23
TEN,12,17
TEN,13,17
