Rank,First,Last,Team,Pos,Opp,Owner,Projected,Actual,%Owned,0-19,20-29,30-39,40-49,50+,0-19,20-29,30-39,40-49,50+,Made,Miss,FanPts
1,Matt,Bryant,Atl,K,NO,FA,222,112,98%,1,8,10,10,4,0,1,1,3,0,44,0,159
2,Stephen,Gostkowski,NE,K,Buf,FA,229,103,99%,0,8,10,9,2,0,0,2,4,0,66,0,164
3,Phil,Dawson,SF,K,GB,FA,230,172,93%,0,8,8,6,7,0,1,1,0,0,29,0,134
4,Blair,Walsh,Min,K,Det,FA,232,98,97%,0,10,8,7,10,0,0,1,2,0,36,0,167
5,Matt,Prater,Den,K,Bal,FA,234,148,94%,1,7,10,5,3,0,0,1,4,1,55,0,143
6,Justin,Tucker,Bal,K,Den,FA,236,130,93%,0,8,8,10,4,0,0,0,3,0,42,0,150
7,Josh,Brown,NYG,K,Dal,FA,239,1795,61%,0,3,4,3,1,0,0,0,0,1,8,0,46
8,David,Akers,Det,K,Min,FA,243,153,74%,1,8,11,7,2,0,1,2,6,4,44,0,139
9,Jason,Hanson,Det,K,Min,FA,244,123,27%,1,3,10,16,2,0,0,0,3,1,38,0,154
10,Connor,Barth,TB,K,NYJ,FA,245,141,64%,0,7,3,12,6,0,0,1,1,3,39,0,146
11,Lawrence,Tynes,NYG,K,Dal,FA,248,122,24%,0,11,14,7,1,0,0,2,2,2,46,0,152
12,Sebastian,Janikowski,Oak,K,Ind,FA,250,178,75%,1,9,10,5,6,0,0,0,0,3,25,0,135
13,Dan,Bailey,Dal,K,NYG,FA,251,164,54%,1,5,13,7,3,0,0,0,0,2,37,0,137
14,Mike,Nugent,Cin,K,Chi,FA,254,1449,15%,2,5,5,6,1,0,0,0,3,1,35,0,100
15,Graham,Gano,Car,K,Sea,FA,255,1792,5%,0,3,3,2,1,0,0,0,1,1,20,1,50
16,Shayne,Graham,Cle,K,Mia,FA,257,124,24%,1,8,11,7,4,0,0,0,2,5,45,0,153
17,Robbie,Gould,Chi,K,Cin,FA,262,253,16%,0,7,5,7,2,0,0,2,2,0,33,0,105
18,Billy,Cundiff,SF,K,GB,FA,264,1799,3%,0,1,3,3,0,0,0,2,1,2,17,0,39
19,Mason,Crosby,GB,K,SF,FA,270,191,29%,0,5,5,9,2,0,0,2,3,7,50,0,124
20,Shaun,Suisham,Pit,K,Ten,FA,276,184,9%,0,7,8,12,1,0,1,0,0,2,34,0,130.9
21,Adam,Vinatieri,Ind,K,Oak,FA,280,183,14%,1,8,4,9,4,0,0,3,1,3,37,0,129
22,Kai,Forbath,Was,K,Phi,FA,282,1469,9%,0,3,2,11,1,0,0,1,0,0,33,1,95
23,Steven,Hauschka,Sea,K,Car,FA,284,196,25%,1,7,10,5,1,0,0,0,0,3,46,2,123
24,Dan,Carpenter,Mia,K,Cle,FA,289,273,3%,0,3,9,8,2,0,0,0,2,3,26,0,104
25,Nick,Novak,SD,K,Hou,FA,296,1483,2%,1,5,6,4,2,0,0,0,0,2,33,0,95
