Rk,First,Last,Pos,Team,Age,PassYds,TD,Int,RushYds,TD,Rec,Yds,TD,FumLost,FantasyPoints,RetTD,ADP
1,Calvin,Johnson,WR,DET,27,0,0,0,0,0,122,1964,5,3,220.4,0,9.72
2,AJ,Green,WR,CIN,24,0,0,0,38,0,97,1350,11,1,202.8,0,15.36
3,Julio,Jones,WR,ATL,24,0,0,0,30,0,79,1198,10,0,182.8,0,19.96
4,Dez,Bryant,WR,DAL,24,0,0,0,-5,0,92,1382,12,2,207.7,0,20.64
5,Brandon,Marshall,WR,CHI,29,0,0,0,-2,0,118,1508,11,0,216.6,0,22.48
6,Demaryius,Thomas,WR,DEN,25,0,0,0,0,0,94,1434,10,3,197.4,0,23.92
7,Percy,Harvin,WR,SEA,25,0,0,0,96,1,62,677,3,1,99.3,1,31.56
8,Randall,Cobb,WR,GB,22,0,0,0,132,0,80,954,8,1,154.6,1,32.2
9,Victor,Cruz,WR,NYG,26,0,0,0,0,0,86,1092,10,0,169.2,0,35.96
10,Michael,Crabtree,WR,SF,25,0,0,0,8,0,85,1105,9,0,165.3,0,36.28
11,Larry,Fitzgerald,WR,ARI,29,0,0,0,0,0,71,798,4,0,103.8,0,39.88
12,Roddy,White,WR,ATL,31,0,0,0,0,0,92,1351,7,0,177.1,0,40
13,Andre,Johnson,WR,HOU,32,0,0,0,0,0,112,1598,4,0,183.8,0,43.96
14,Hakeem,Nicks,WR,NYG,25,0,0,0,0,0,53,692,3,0,87.2,0,46.36
15,Vincent,Jackson,WR,TB,30,0,0,0,0,0,72,1384,8,0,188.4,0,49
16,Eric,Decker,WR,DEN,26,0,0,0,0,0,85,1064,13,0,184.4,0,54.92
17,Jordy,Nelson,WR,GB,28,0,0,0,0,0,49,745,7,0,118.5,0,55.28
18,Mike,Wallace,WR,MIA,26,0,0,0,7,0,64,836,8,1,130.3,0,55.36
19,Marques,Colston,WR,NO,30,0,0,0,0,0,83,1154,10,2,171.4,0,61.08
