Rk,First,Last,Pos,Team,Age,PassYds,TD,Int,RushYds,TD,Rec,Yds,TD,FumLost,FantasyPoints,Avg,ADP
1,Rob,Gronkowski,TE,NE,24,0,0,0,0,0,55,790,11,1,143,0,20.24
2,Jimmy,Graham,TE,NO,26,0,0,0,0,0,85,982,9,0,152.2,0,23.16
3,Jason,Witten,TE,DAL,31,0,0,0,0,0,110,1039,3,0,121.9,0,58.84
4,Vernon,Davis,TE,SF,29,0,0,0,0,0,41,548,5,0,84.8,0,72.71
5,Kyle,Rudolph,TE,MIN,23,0,0,0,0,0,53,493,9,0,105.3,0,82.04
6,Tony,Gonzalez,TE,ATL,37,0,0,0,0,0,93,930,8,0,141,0,84.35
7,Dennis,Pitta,TE,BAL,28,0,0,0,0,0,61,669,7,0,108.9,0,96
8,Jermaine,Gresham,TE,CIN,25,0,0,0,0,0,64,737,5,1,101.7,0,108.14
9,Tony,Scheffler,TE,DET,30,0,0,0,0,0,42,504,1,0,56.4,0,108.5
10,Greg,Olsen,TE,CAR,28,0,0,0,0,0,69,843,5,0,114.3,0,110.3
11,Jermichael,Finley,TE,GB,26,0,0,0,0,0,61,667,2,1,76.7,0,112.67
12,David,Paulson,TE,PIT,24,0,0,0,0,0,7,51,0,0,5.1,0,117.5
13,Owen,Daniels,TE,HOU,30,0,0,0,0,0,62,716,6,0,107.6,0,121.67
14,Brandon,Pettigrew,TE,DET,28,0,0,0,0,0,59,567,3,2,70.7,0,123.09
15,Antonio,Gates,TE,SD,33,0,0,0,0,0,49,538,7,0,95.8,0,128.58
16,Tyler,Eifert,TE,CIN,22,0,0,0,0,0,0,0,0,0,0,0,130.17
17,Jared,Cook,TE,STL,26,0,0,0,0,0,44,523,4,1,74.3,0,130.67
18,Martellus,Bennett,TE,CHI,26,0,0,0,0,0,55,626,5,0,92.6,0,132
19,Brandon,Myers,TE,NYG,27,0,0,0,0,0,79,806,4,0,104.6,0,144.11
20,Dwayne,Allen,TE,IND,23,0,0,0,5,0,45,521,3,0,70.6,0,144.22
21,Coby,Fleener,TE,IND,24,0,0,0,0,0,26,281,2,0,40.1,0,150.29
22,Heath,Miller,TE,PIT,30,0,0,0,0,0,71,816,8,0,131.6,0,156
23,Fred,Davis,TE,WAS,27,0,0,0,1,0,24,325,0,0,32.6,0,158.94
24,Tom,Crabtree,TE,TB,27,0,0,0,0,0,8,203,3,0,38.3,0,167.5
25,Kyle,Adams,TE,CHI,25,0,0,0,0,0,4,40,0,0,4,0,169.33
26,Zach,Miller,TE,SEA,27,0,0,0,0,0,38,396,3,1,55.6,0,170.15
27,Zach,Ertz,TE,PHI,22,0,0,0,0,0,0,0,0,0,0,0,171.6
28,Rob,Housler,TE,ARI,25,0,0,0,0,0,45,417,0,0,41.7,0,174.67
29,Dustin,Keller,TE,MIA,28,0,0,0,0,0,28,317,2,0,43.7,0,175.12
30,Jordan,Cameron,TE,CLE,24,0,0,0,0,0,20,226,1,0,28.6,0,178
31,Marcedes,Lewis,TE,JAX,29,0,0,0,0,0,52,540,4,0,78,0,180.5
32,Brent,Celek,TE,PHI,28,0,0,0,0,0,57,684,1,1,72.4,0,187.71
33,Delanie,Walker,TE,TEN,28,0,0,0,0,0,21,344,3,1,50.4,0,199.83
34,Lance,Kendricks,TE,STL,25,0,0,0,0,0,42,519,4,0,77.9,0,202.75
35,Jacob,Tamme,TE,DEN,28,0,0,0,0,0,52,555,2,0,67.5,0,225.43
36,DJ,Williams,TE,GB,24,0,0,0,0,0,7,57,0,0,5.7,0,227.33
37,Ladarius,Green,TE,SD,23,0,0,0,0,0,4,56,0,0,5.6,0,228.5
38,Tony,Moeaki,TE,KC,26,0,0,0,0,0,33,453,1,0,51.3,0,232.5
39,Taylor,Thompson,TE,TEN,23,0,0,0,0,0,6,46,0,0,4.6,0,262.6
40,Travis,Kelce,TE,KC,23,0,0,0,0,0,0,0,0,0,0,0,264
41,Jordan,Reed,TE,WAS,23,0,0,0,0,0,0,0,0,0,0,0,267.33
42,Gavin,Escobar,TE,DAL,22,0,0,0,0,0,0,0,0,0,0,0,273.33
43,Scott,Chandler,TE,BUF,27,0,0,0,0,0,43,571,6,1,91.1,0,307
