Rank,Player,Name,POS,Points,Owned,Proj,Actual,Pts,Sack,Safety,Int,Fum,TD,Blk
1,Seattle,Sea,DEF,286,100%,123,77,219,44,2,28,11,4,1
2,SF,SFO,DEF,253,100%,157,125,270,38,1,18,12,5,2
3,STL,STL,DEF,223,97%,158,143,332,53,1,14,15,5,1
4,Arizona,ARI,DEF,239,94%,168,120,316,47,2,20,10,5,2
5,Carolina,CAR,DEF,286,99%,184,79,237,60,0,20,10,4,1
6,KC,KAN,DEF,257,98%,185,65,303,47,0,21,15,7,0
7,Cincinnati,CIN,DEF,249,96%,187,111,285,43,0,20,11,6,3
8,NE,NWE,DEF,219,93%,194,176,320,48,0,17,12,3,1
9,Denver,DEN,DEF,178,91%,210,215,385,41,0,17,9,3,2
10,Chicago,CHI,DEF,160,80%,212,285,434,31,0,19,9,6,0
11,Buffalo,BUF,DEF,207,70%,215,179,370,57,0,23,7,3,0
12,Indianapolis,IND,DEF,207,56%,225,192,322,42,2,15,12,2,2
13,Baltimore,BAL,DEF,189,43%,235,233,322,40,0,16,8,1,0
14,TB,TAM,DEF,190,31%,241,217,375,35,1,21,10,3,2
15,NYG,NYG,DEF,184,10%,242,261,345,34,0,17,12,3,1
16,Miami,MIA,DEF,207,8%,244,237,321,42,1,18,6,2,2
17,Tennessee,TEN,DEF,185,5%,249,278,351,36,0,13,12,3,2
18,Dallas,DAL,DEF,167,5%,275,245,426,34,0,15,13,5,1
19,Pittsburgh,PIT,DEF,176,15%,282,286,358,34,1,10,10,3,1
20,Cleveland,CLE,DEF,165,14%,289,1371,386,40,0,14,7,4,0
21,GB,GNB,DEF,153,14%,1777,1404,402,44,0,11,11,2,2
22,Philadelphia,PHI,DEF,194,12%,1783,246,370,37,2,19,12,2,1
23,NOR,NOR,DEF,191,15%,1785,1401,292,49,0,12,7,0,0
24,SD,SDG,DEF,163,2%,1792,1461,330,35,0,11,6,1,2
25,Washington,Was,DEF,147,2%,1797,1426,464,36,0,16,10,5,0
