Rank,First,Last,Team,G,0-19,20-29,30-39,40-49,50+,FGM,FGA,Pct,Lng,XPM,XPA,Pct
1,Stephen,Gostkowski,NWE,16,1,8,13,11,5,38,41,92.7,54,44,44,100
2,Justin,Tucker,BAL,16,0,10,12,10,6,38,41,92.7,61,26,26,100
3,Adam,Vinatieri,IND,15,0,6,10,15,4,35,40,87.5,52,34,34,100
4,Nick,Novak,SDG,16,1,9,13,9,2,34,37,91.9,50,42,42,100
5,Dan,Carpenter,BUF,16,0,13,6,10,4,33,36,91.7,55,32,32,100
6,Steven,Hauschka,SEA,16,0,10,9,11,3,33,35,94.3,53,44,44,100
7,Mason,Crosby,GNB,16,1,13,8,6,5,33,37,89.2,57,42,42,100
8,Nick,Folk,NYJ,16,0,8,10,12,3,33,36,91.7,54,27,27,100
9,Phil,Dawson,SFO,16,0,12,6,10,4,32,36,88.9,56,44,44,100
10,Shaun,Suisham,PIT,16,0,9,13,8,0,30,32,93.8,48,39,39,100
11,Jay,Feely,ARI,16,0,11,7,11,3,30,36,83.3,52,37,37,100
12,Dan,Bailey,DAL,16,2,2,8,10,6,28,30,93.3,53,47,47,100
13,Randy,Bullock,HOU,16,1,7,5,12,1,26,35,74.3,51,26,26,100
14,Robbie,Gould,CHI,16,0,11,6,6,3,26,29,89.7,58,45,46,97.8
15,Greg,Zuerlein,STL,16,0,7,10,8,1,26,28,92.9,54,34,34,100
16,Caleb,Sturgis,MIA,16,1,4,10,8,3,26,34,76.5,54,33,33,100
17,Blair,Walsh,MIN,16,0,7,12,5,2,26,30,86.7,54,43,44,97.7
18,Rob,Bironas,TEN,16,0,10,8,5,2,25,29,86.2,55,41,41,100
19,Matt,Prater,DEN,16,2,4,5,8,6,25,26,96.2,64,75,75,100
20,Graham,Gano,CAR,16,0,9,4,5,6,24,27,88.9,55,42,42,100
21,Matt,Bryant,ATL,16,0,9,7,5,3,24,27,88.9,53,39,39,100
22,Alex,Henery,PHI,16,0,8,7,7,1,23,28,82.1,51,45,45,100
23,Rian,Lindell,TAM,16,0,3,12,4,4,23,29,79.3,54,31,31,100
24,Josh,Scobee,JAC,16,0,3,12,4,4,23,25,92,55,22,23,95.7
25,Josh,Brown,NYG,16,0,8,7,7,1,23,26,88.5,52,31,31,100
26,Garrett,Hartley,NOR,14,2,5,8,9,1,22,30,73.3,55,41,41,100
27,Ryan,Succop,KAN,16,0,6,9,6,1,22,28,78.6,51,52,52,100
28,Sebastian,Janikowski,OAK,16,0,6,4,8,3,21,30,70,53,37,37,100
29,Billy,Cundiff,CLE,16,0,7,5,7,2,21,26,80.8,51,32,32,100
30,David,Akers,DET,16,1,5,6,4,3,19,24,79.2,53,42,43,97.7
31,Mike,Nugent,CIN,16,0,2,6,7,3,18,22,81.8,54,52,53,98.1
32,Kai,Forbath,WAS,13,0,3,10,4,1,18,22,81.8,50,26,26,100
33,John,Potter,WAS,3,0,2,0,1,0,3,4,75,43,7,7,100
34,Shayne,Graham,NOR,2,0,1,0,1,0,2,2,100,40,7,7,100
35,Spencer,Lanning,CLE,16,0,0,0,0,0,0,0,0,0,1,1,100
